pop1 pop2 pop1_long pop2_long type geography fst n_inds least.cost.distance euc.distance dist.to.coast1 dist.to.coast2
RT SH RT_cmn SH_cmn cmn_cmn allopatric 0.011565 14 178.005317377811 152 0.283588138995079 0.350212979381137
RT SH RT_cmn SH_wht wht_cmn allopatric 0.038426 6 178.005317377811 152 0.283588138995079 0.350212979381137
RT SK RT_cmn SK_cbr cmn_cbr allopatric 0.024965 17 47.0786616898068 38 0.283588138995079 0.376207204758099
RT SR RT_cmn SR_cmn cmn_cmn allopatric 0.011751 16 54.4235985325022 55 0.283588138995079 2.09303510883343
RT SR RT_cmn SR_wht wht_cmn allopatric 0.031979 17 54.4235985325022 55 0.283588138995079 2.09303510883343
RT SF RT_wht SF_cmn wht_cmn allopatric 0.009136 17 38.5055004544366 39 0.283588138995079 0.661328928399864
RT SF RT_wht SF_wht wht_wht allopatric 0.00049026 31 38.5055004544366 39 0.283588138995079 0.661328928399864
RT SH RT_wht SH_cmn wht_cmn allopatric 0.017022 26 178.005317377811 152 0.283588138995079 0.350212979381137
RT SH RT_wht SH_wht wht_wht allopatric 0.011617 18 178.005317377811 152 0.283588138995079 0.350212979381137
RT SK RT_wht SK_cbr wht_cbr allopatric 0.020505 29 47.0786616898068 38 0.283588138995079 0.376207204758099
RT SR RT_wht SR_cmn wht_cmn allopatric 0.023146 28 54.4235985325022 55 0.283588138995079 2.09303510883343
RT SR RT_wht SR_wht wht_wht allopatric 0.00059892 29 54.4235985325022 55 0.283588138995079 2.09303510883343
SF SF SF_cmn SF_wht wht_cmn sympatric 0.017333 20 NA 0 0.661328928399864 0.661328928399864
SF SH SF_cmn SH_cmn cmn_cmn allopatric 0.005298 15 140.712132206668 113 0.661328928399864 0.350212979381137
SF SH SF_cmn SH_wht wht_cmn allopatric 0.038018 7 140.712132206668 113 0.661328928399864 0.350212979381137
SF SK SF_cmn SK_cbr cmn_cbr allopatric 0.012293 18 85.5841621442434 60 0.661328928399864 0.376207204758099
SF SR SF_cmn SR_cmn cmn_cmn allopatric 0.019652 17 15.9180980780656 16 0.661328928399864 2.09303510883343
SF SR SF_cmn SR_wht wht_cmn allopatric 0.016873 18 15.9180980780656 16 0.661328928399864 2.09303510883343
SF SH SF_wht SH_cmn wht_cmn allopatric 0.017849 29 140.712132206668 113 0.661328928399864 0.350212979381137
SF SH SF_wht SH_wht wht_wht allopatric 0.012595 21 140.712132206668 113 0.661328928399864 0.350212979381137
SF SK SF_wht SK_cbr wht_cbr allopatric 0.022254 32 85.5841621442434 60 0.661328928399864 0.376207204758099
SF SR SF_wht SR_cmn wht_cmn allopatric 0.020396 31 15.9180980780656 16 0.661328928399864 2.09303510883343
SF SR SF_wht SR_wht wht_wht allopatric 0 32 15.9180980780656 16 0.661328928399864 2.09303510883343
SH SH SH_cmn SH_wht wht_cmn sympatric 0.023325 16 NA 0 0.350212979381137 0.350212979381137
SH SK SH_cmn SK_cbr cmn_cbr allopatric 0.019956 27 223.311765152508 161 0.350212979381137 0.376207204758099
SH SR SH_cmn SR_cmn cmn_cmn allopatric 0.0085479 26 146.443980915547 97 0.350212979381137 2.09303510883343
SH SR SH_cmn SR_wht wht_cmn allopatric 0.019234 27 146.443980915547 97 0.350212979381137 2.09303510883343
SH SK SH_wht SK_cbr wht_cbr allopatric 0.035294 19 223.311765152508 161 0.350212979381137 0.376207204758099
SH SR SH_wht SR_cmn wht_cmn allopatric 0.020178 18 146.443980915547 97 0.350212979381137 2.09303510883343
SH SR SH_wht SR_wht wht_wht allopatric 0.015783 19 146.443980915547 97 0.350212979381137 2.09303510883343
SK SR SK_cbr SR_cmn cmn_cbr allopatric 0.025711 29 101.502260222309 74 0.376207204758099 2.09303510883343
SK SR SK_cbr SR_wht wht_cbr allopatric 0.022554 30 101.502260222309 74 0.376207204758099 2.09303510883343
SR SR SR_cmn SR_wht wht_cmn sympatric 0.022962 29 NA 0 2.09303510883343 2.09303510883343
