pop1 ecotype1 pop2 ecotype2 geography ecology group reg1 reg2 geography2 group2 fst
geneva stream joes stream allo S allo_S sl bc allo allo_S 0.711376
geneva stream ln marine allo D allo_D sl ns allo allo_D 0.564788
geneva stream mh marine allo D allo_D sl ns allo allo_D 0.55892
geneva stream mh white allo D allo_D sl ns allo allo_D 0.543594
geneva stream misty lake allo D allo_D sl bc allo allo_D 0.606393
geneva stream misty stream allo S allo_S sl bc allo allo_S 0.606381
geneva stream roberts lake allo D allo_D sl bc allo allo_D 0.544199
geneva stream roberts stream allo S allo_S sl bc allo allo_S 0.609537
geneva stream sk marine allo D allo_D sl ns allo allo_D 0.571409
geneva stream sr marine allo D allo_D sl ns allo allo_D 0.574353
geneva stream sr white allo D allo_D sl ns allo allo_D 0.579989
hadsten lake al marine allo D allo_D ne ns allo allo_D 0.522037
hadsten lake bea lake allo S allo_S ne al allo allo_S 0.635543
hadsten lake boot lake allo S allo_S ne bc allo allo_S 0.712007
hadsten lake boot stream allo D allo_D ne bc allo allo_D 0.734672
hadsten lake cl marine allo D allo_D ne ns allo allo_D 0.52988
hadsten lake cl white allo D allo_D ne ns allo allo_D 0.513746
hadsten lake constance lake allo S allo_S ne sl allo allo_S 0.619073
hadsten lake constance stream allo D allo_D ne sl allo allo_D 0.606485
hadsten lake cp marine allo D allo_D ne ns allo allo_D 0.508582
hadsten lake denmark marine allo D allo_D ne ne para para_D 0.445366
hadsten lake geneva lake allo S allo_S ne sl allo allo_S 0.646466
hadsten lake geneva stream allo D allo_D ne sl allo allo_D 0.654928
hadsten lake hald lake allo S allo_S ne ne para para_S 0.321578
hadsten lake japan japansea allo D allo_D ne jp allo allo_D 0.878225
hadsten lake japan marine allo D allo_D ne jp allo allo_D 0.596076
hadsten lake joes lake allo S allo_S ne bc allo allo_S 0.745296
hadsten lake joes stream allo D allo_D ne bc allo allo_D 0.746219
hadsten lake litcampbell marine allo D allo_D ne bc allo allo_D 0.557054
hadsten lake ln marine allo D allo_D ne ns allo allo_D 0.511748
hadsten lake mariager marine allo D allo_D ne ne para para_D 0.249916
hadsten lake mh marine allo D allo_D ne ns allo allo_D 0.527735
hadsten lake mh white allo D allo_D ne ns allo allo_D 0.518351
hadsten lake misty lake allo S allo_S ne bc allo allo_S 0.666764
hadsten lake misty stream allo D allo_D ne bc allo allo_D 0.66656
hadsten lake mud lake allo S allo_S ne al allo allo_S 0.626377
hadsten lake rab marine allo D allo_D ne al allo allo_D 0.584089
hadsten lake res marine allo D allo_D ne al allo allo_D 0.582537
hadsten lake roberts lake allo S allo_S ne bc allo allo_S 0.623196
hadsten lake roberts stream allo D allo_D ne bc allo allo_D 0.667741
hadsten lake sk marine allo D allo_D ne ns allo allo_D 0.526297
hadsten lake sr marine allo D allo_D ne ns allo allo_D 0.519544
hadsten lake sr white allo D allo_D ne ns allo allo_D 0.521605
hald lake al marine allo D allo_D ne ns allo allo_D 0.417822
hald lake bea lake allo S allo_S ne al allo allo_S 0.579539
hald lake boot lake allo S allo_S ne bc allo allo_S 0.668529
hald lake boot stream allo D allo_D ne bc allo allo_D 0.680382
hald lake cl marine allo D allo_D ne ns allo allo_D 0.427542
hald lake cl white allo D allo_D ne ns allo allo_D 0.409808
hald lake constance lake allo S allo_S ne sl allo allo_S 0.538197
hald lake constance stream allo D allo_D ne sl allo allo_D 0.527985
hald lake cp marine allo D allo_D ne ns allo allo_D 0.424577
hald lake denmark marine allo D allo_D ne ne para para_D 0.340193
hald lake geneva lake allo S allo_S ne sl allo allo_S 0.575177
hald lake geneva stream allo D allo_D ne sl allo allo_D 0.581718
hald lake japan japansea allo D allo_D ne jp allo allo_D 0.852111
hald lake japan marine allo D allo_D ne jp allo allo_D 0.518721
hald lake joes lake allo S allo_S ne bc allo allo_S 0.706901
hald lake joes stream allo D allo_D ne bc allo allo_D 0.704581
hald lake litcampbell marine allo D allo_D ne bc allo allo_D 0.453026
hald lake ln marine allo D allo_D ne ns allo allo_D 0.416764
hald lake mariager marine allo D allo_D ne ne para para_D 0.123548
hald lake mh marine allo D allo_D ne ns allo allo_D 0.422748
hald lake mh white allo D allo_D ne ns allo allo_D 0.400994
hald lake misty lake allo S allo_S ne bc allo allo_S 0.625642
hald lake misty stream allo D allo_D ne bc allo allo_D 0.624823
hald lake mud lake allo S allo_S ne al allo allo_S 0.573247
hald lake rab marine allo D allo_D ne al allo allo_D 0.499631
hald lake res marine allo D allo_D ne al allo allo_D 0.511947
hald lake roberts lake allo S allo_S ne bc allo allo_S 0.579533
hald lake roberts stream allo D allo_D ne bc allo allo_D 0.62137
hald lake sk marine allo D allo_D ne ns allo allo_D 0.425772
hald lake sr marine allo D allo_D ne ns allo allo_D 0.399557
hald lake sr white allo D allo_D ne ns allo allo_D 0.417327
japan japansea al marine allo D allo_D jp ns allo allo_D 0.855184
japan japansea boot lake allo D allo_D jp bc allo allo_D 0.877168
japan japansea boot stream allo D allo_D jp bc allo allo_D 0.87143
japan japansea cl marine allo D allo_D jp ns allo allo_D 0.854558
japan japansea cl white allo D allo_D jp ns allo allo_D 0.855377
japan japansea constance lake allo D allo_D jp sl allo allo_D 0.895907
japan japansea constance stream allo D allo_D jp sl allo allo_D 0.892052
japan japansea cp marine allo D allo_D jp ns allo allo_D 0.857967
japan japansea denmark marine allo D allo_D jp ne allo allo_D 0.843202
japan japansea geneva lake allo D allo_D jp sl allo allo_D 0.908311
japan japansea geneva stream allo D allo_D jp sl allo allo_D 0.911162
japan japansea joes lake allo D allo_D jp bc allo allo_D 0.887586
japan japansea joes stream allo D allo_D jp bc allo allo_D 0.886275
japan japansea litcampbell marine allo D allo_D jp bc allo allo_D 0.799501
japan japansea ln marine allo D allo_D jp ns allo allo_D 0.856288
japan japansea mh marine allo D allo_D jp ns allo allo_D 0.849047
japan japansea mh white allo D allo_D jp ns allo allo_D 0.851109
japan japansea misty lake allo D allo_D jp bc allo allo_D 0.844013
japan japansea misty stream allo D allo_D jp bc allo allo_D 0.843363
