"pop" "id.raw" "id" "k.value.run" "X1" "X2" "X3" "membership"
"148" "AL" "whtstbk_gbs_2015_L2_brds_AL22" "AL22" 1 1 NA NA 1
"149" "AL" "whtstbk_gbs_2015_L2_brds_AL24" "AL24" 1 1 NA NA 1
"150" "AL" "whtstbk_gbs_2015_L2_brds_AL29" "AL29" 1 1 NA NA 1
"151" "AL" "whtstbk_gbs_2015_L2_brds_AL3" "AL3" 1 1 NA NA 1
"152" "AL" "whtstbk_gbs_2015_L2_brds_AL6" "AL6" 1 1 NA NA 1
"153" "BR" "whtstbk_gbs_2015_L2_brds_BR18" "BR18" 1 1 NA NA 1
"154" "BR" "whtstbk_gbs_2015_L2_brds_BR19" "BR19" 1 1 NA NA 1
"155" "BR" "whtstbk_gbs_2015_L2_brds_BR21" "BR21" 1 1 NA NA 1
"156" "BR" "whtstbk_gbs_2015_L2_brds_BR23" "BR23" 1 1 NA NA 1
"157" "BR" "whtstbk_gbs_2015_L2_brds_BR25" "BR25" 1 1 NA NA 1
"158" "BR" "whtstbk_gbs_2015_L2_brds_BR26" "BR26" 1 1 NA NA 1
"159" "BR" "whtstbk_gbs_2015_L2_brds_BR29" "BR29" 1 1 NA NA 1
"160" "BR" "whtstbk_gbs_2015_L2_brds_BR32" "BR32" 1 1 NA NA 1
"161" "BR" "whtstbk_gbs_2015_L2_brds_BR37" "BR37" 1 1 NA NA 1
"162" "CB" "whtstbk_gbs_2015_L2_brds_CB2" "CB2" 1 1 NA NA 1
"163" "CL" "whtstbk_gbs_2015_L2_brds_CL17" "CL17" 1 1 NA NA 1
"164" "CL" "whtstbk_gbs_2015_L2_brds_CL23" "CL23" 1 1 NA NA 1
"165" "CL" "whtstbk_gbs_2015_L2_brds_CL27" "CL27" 1 1 NA NA 1
"166" "CL" "whtstbk_gbs_2015_L2_brds_CL31" "CL31" 1 1 NA NA 1
"167" "CL" "whtstbk_gbs_2015_L2_brds_CL39" "CL39" 1 1 NA NA 1
"168" "CL" "whtstbk_gbs_2015_L2_brds_CL42" "CL42" 1 1 NA NA 1
"169" "CL" "whtstbk_gbs_2015_L2_brds_CL43" "CL43" 1 1 NA NA 1
"170" "CL" "whtstbk_gbs_2015_L2_brds_CL47" "CL47" 1 1 NA NA 1
"171" "CL" "whtstbk_gbs_2015_L2_brds_CL54" "CL54" 1 1 NA NA 1
"172" "CL" "whtstbk_gbs_2015_L2_brds_CL56" "CL56" 1 1 NA NA 1
"173" "CL" "whtstbk_gbs_2015_L2_brds_CL63" "CL63" 1 1 NA NA 1
"174" "CL" "whtstbk_gbs_2015_L2_brds_CL9" "CL9" 1 1 NA NA 1
"175" "CPN" "whtstbk_gbs_2015_L2_brds_CPN10" "CPN10" 1 1 NA NA 1
"176" "CPN" "whtstbk_gbs_2015_L2_brds_CPN15" "CPN15" 1 1 NA NA 1
"177" "CPN" "whtstbk_gbs_2015_L2_brds_CPN17" "CPN17" 1 1 NA NA 1
"178" "CPN" "whtstbk_gbs_2015_L2_brds_CPN20" "CPN20" 1 1 NA NA 1
"179" "CPN" "whtstbk_gbs_2015_L2_brds_CPN27" "CPN27" 1 1 NA NA 1
"180" "CPN" "whtstbk_gbs_2015_L2_brds_CPN28" "CPN28" 1 1 NA NA 1
"181" "CPN" "whtstbk_gbs_2015_L2_brds_CPN35" "CPN35" 1 1 NA NA 1
"182" "CPN" "whtstbk_gbs_2015_L2_brds_CPN6" "CPN6" 1 1 NA NA 1
"183" "CPN" "whtstbk_gbs_2015_L2_brds_CPN8" "CPN8" 1 1 NA NA 1
